item_id,movie_title_raw,release_date,video_release_date,imdb_url,unknown,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western,movie_title,release_year,rating_count,average_rating,rating_std,first_rated_time,last_rated_time,genre_count,decade_group,genre_list,genre_string,popularity_group,bayesian_average_rating
1,Toy Story (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Toy Story,1995.0,452,3.8783185840707963,0.9278967014291225,1997-09-20 19:43:35,1998-04-22 16:56:14,3,1990s,"['animation', 'children', 'comedy']","animation, children, comedy",Popular,3.8635533898305083
2,GoldenEye (1995),1995-01-01,,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GoldenEye,1995.0,131,3.2061068702290076,0.9664969039857163,1997-09-20 18:02:48,1998-04-21 00:42:16,3,1990s,"['action', 'adventure', 'thriller']","action, adventure, thriller",Popular,3.2489880794701986
3,Four Rooms (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Four Rooms,1995.0,90,3.033333333333333,1.2127598760075846,1997-09-20 20:22:04,1998-04-17 05:24:36,1,1990s,['thriller'],thriller,Popular,3.1236109090909094
4,Get Shorty (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Get Shorty,1995.0,209,3.550239234449761,0.9650689693325767,1997-09-20 04:36:19,1998-04-22 17:22:21,3,1990s,"['action', 'comedy', 'drama']","action, comedy, drama",Popular,3.5484593886462883
5,Copycat (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Copycat%20(1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Copycat,1995.0,86,3.302325581395349,0.9464455789564071,1997-09-20 21:58:12,1998-04-21 21:36:47,3,1990s,"['crime', 'drama', 'thriller']","crime, drama, thriller",Popular,3.3452566037735854
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995-01-01,,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0,26,3.576923076923077,1.3014784492438414,1997-09-23 15:22:45,1998-03-31 22:45:57,1,1990s,['drama'],drama,Medium,3.5564608695652176
7,Twelve Monkeys (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Twelve Monkeys,1995.0,392,3.798469387755102,0.9820369790473802,1997-09-20 17:06:25,1998-04-22 16:58:20,2,1990s,"['drama', 'sci_fi']","drama, sci_fi",Popular,3.785430097087379
8,Babe (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Babe%20(1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Babe,1995.0,219,3.9954337899543377,1.0022805046720513,1997-09-20 19:57:54,1998-04-22 17:21:50,3,1990s,"['children', 'comedy', 'drama']","children, comedy, drama",Popular,3.956473640167364
9,Dead Man Walking (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Dead Man Walking,1995.0,299,3.8963210702341136,1.0423675187854733,1997-09-21 01:36:44,1998-04-22 16:53:14,1,1990s,['drama'],drama,Popular,3.873345454545454
10,Richard III (1995),1996-01-22,,http://us.imdb.com/M/title-exact?Richard%20III%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Richard III,1995.0,89,3.831460674157303,1.0139476750012546,1997-09-21 17:25:34,1998-04-22 16:58:55,2,1990s,"['drama', 'war']","drama, war",Popular,3.7761211009174307
11,Seven (Se7en) (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Se7en%20(1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Seven (Se7en),1995.0,236,3.847457627118644,1.0689196665400296,1997-09-20 17:44:00,1998-04-21 00:44:51,2,1990s,"['crime', 'thriller']","crime, thriller",Popular,3.8226453125
12,"Usual Suspects, The (1995)",1995-08-14,,"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Usual Suspects, The",1995.0,267,4.385767790262173,0.8255003440679943,1997-09-20 17:44:51,1998-04-22 02:36:12,2,1990s,"['crime', 'thriller']","crime, thriller",Popular,4.326122648083624
13,Mighty Aphrodite (1995),1995-10-30,,http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mighty Aphrodite,1995.0,184,3.4184782608695654,1.0316763744514705,1997-09-20 19:41:37,1998-04-22 16:57:00,1,1990s,['comedy'],comedy,Popular,3.4293980392156866
14,"Postino, Il (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"Postino, Il",1994.0,183,3.9672131147540983,0.99945941071822,1997-09-20 18:46:13,1998-04-22 16:53:14,2,1990s,"['drama', 'romance']","drama, romance",Popular,3.9241241379310345
15,Mr. Holland's Opus (1995),1996-01-29,,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mr. Holland's Opus,1995.0,293,3.7781569965870307,0.9802505354520155,1997-09-20 19:17:32,1998-04-22 16:58:55,1,1990s,['drama'],drama,Popular,3.762291373801917
16,French Twist (Gazon maudit) (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,French Twist (Gazon maudit),1995.0,39,3.2051282051282053,1.030571818266242,1997-09-26 15:58:53,1998-04-22 16:58:55,2,1990s,"['comedy', 'romance']","comedy, romance",Medium,3.3152067796610174
17,From Dusk Till Dawn (1996),1996-02-05,,http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,From Dusk Till Dawn,1996.0,92,3.119565217391304,1.1752240030047096,1997-09-20 21:44:54,1998-04-17 03:49:02,5,1990s,"['action', 'comedy', 'crime', 'horror', 'thriller']","action, comedy, crime, horror, thriller",Popular,3.192832142857143
18,"White Balloon, The (1995)",1995-01-01,,http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"White Balloon, The",1995.0,10,2.8,1.3165611772087666,1997-10-26 15:12:19,1998-03-31 22:34:47,1,1990s,['drama'],drama,Cold,3.286573333333333
19,Antonia's Line (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Antonia%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antonia's Line,1995.0,69,3.9565217391304346,1.06321906614239,1997-09-20 18:43:24,1998-04-04 12:24:17,1,1990s,['drama'],drama,Popular,3.8606426966292133
20,Angels and Insects (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Angels and Insects,1995.0,72,3.4166666666666665,1.2304814127170935,1997-09-22 18:59:23,1998-04-22 17:01:06,2,1990s,"['drama', 'romance']","drama, romance",Popular,3.441273913043478
21,Muppet Treasure Island (1996),1996-02-16,,http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Muppet Treasure Island,1996.0,84,2.761904761904762,1.0484532223686107,1997-09-20 20:26:35,1998-04-22 17:03:39,5,1990s,"['action', 'adventure', 'comedy', 'musical', 'thriller']","action, adventure, comedy, musical, thriller",Popular,2.909588461538462
