user_id,age,gender,occupation,zip_code,rating_count,average_rating,rating_std,first_rating_time,last_rating_time,active_span_days,age_group,activity_group
1,24,M,technician,85711,272,3.610294117647059,1.2635847449382043,1997-09-22 21:57:58,1998-03-13 01:15:36,171,18-24,High Activity
2,53,F,other,94043,62,3.7096774193548385,1.0304717489496718,1998-02-27 03:26:00,1998-03-04 02:57:20,4,45-54,Medium Activity
3,23,M,writer,32067,54,2.7962962962962963,1.2190257419794979,1998-03-07 02:15:39,1998-03-07 02:24:42,0,18-24,Medium Activity
4,24,M,technician,43537,24,4.333333333333333,0.9168313422570845,1998-04-08 02:09:34,1998-04-08 03:02:00,0,18-24,Low Activity
5,33,F,other,15213,175,2.874285714285714,1.3629630621197302,1997-09-30 15:57:44,1997-11-10 21:54:58,41,25-34,High Activity
6,42,M,executive,98101,211,3.6350710900473935,1.0394606521187288,1997-12-28 00:16:10,1998-01-02 05:01:44,5,35-44,High Activity
7,57,M,administrator,91344,403,3.965260545905707,1.0644804021090881,1998-03-31 13:13:11,1998-04-11 22:20:06,11,55+,High Activity
8,36,M,administrator,05201,59,3.7966101694915255,1.242628762729949,1997-11-12 19:04:42,1997-11-12 19:20:23,0,35-44,Medium Activity
9,29,M,student,01002,22,4.2727272727272725,0.9351250581921514,1998-02-08 17:25:15,1998-02-08 17:47:36,0,25-34,Low Activity
10,53,M,lawyer,90703,184,4.206521739130435,0.5827772864869106,1997-10-26 17:16:02,1997-11-24 11:35:12,28,45-54,High Activity
11,39,F,other,30329,181,3.4640883977900554,0.9339776781345093,1998-04-06 22:26:46,1998-04-06 23:48:30,0,35-44,High Activity
12,28,F,other,06405,51,4.392156862745098,0.7766191182954238,1997-11-19 16:57:19,1997-11-19 17:33:46,0,25-34,Medium Activity
13,47,M,educator,29206,636,3.09748427672956,1.4164144455780432,1997-12-07 17:11:23,1998-04-18 03:36:29,131,45-54,High Activity
14,45,M,scientist,55106,98,4.091836734693878,1.0363171776330202,1997-10-16 01:16:10,1998-04-10 21:06:43,176,45-54,Medium Activity
15,49,F,educator,97301,104,2.875,1.3415503276259888,1997-11-13 21:04:09,1997-11-13 21:28:27,0,45-54,Medium Activity
16,21,M,entertainment,10309,140,4.328571428571428,1.0418775052128002,1997-10-24 18:16:33,1997-10-24 21:26:57,0,18-24,High Activity
17,30,M,programmer,06355,28,3.0357142857142856,1.1379690439434391,1998-01-18 23:20:19,1998-01-20 05:06:19,1,25-34,Low Activity
18,35,F,other,37212,277,3.88086642599278,0.8492720498768547,1997-11-21 16:21:45,1997-11-21 17:15:01,0,35-44,High Activity
19,40,M,librarian,02138,20,3.55,0.8255779474818965,1998-01-21 19:37:45,1998-01-21 20:00:40,0,35-44,Low Activity
20,42,F,homemaker,95660,48,3.1041666666666665,1.1529718000155968,1997-11-16 08:06:24,1997-11-16 08:47:19,0,35-44,Medium Activity
21,26,M,writer,30068,179,2.670391061452514,1.327227981876026,1997-09-22 17:54:49,1997-09-22 18:11:56,0,25-34,High Activity
22,25,M,writer,40206,128,3.3515625,1.4932385338242642,1997-11-07 07:04:21,1997-11-07 07:37:31,0,25-34,High Activity
23,30,F,artist,48197,151,3.6357615894039736,0.9555692454141962,1997-09-20 19:37:46,1998-03-19 03:09:00,179,25-34,High Activity
24,21,F,artist,94533,68,4.323529411764706,0.8184655550441194,1997-09-26 03:53:05,1997-09-27 01:31:55,0,18-24,Medium Activity
25,39,M,engineer,55107,78,4.051282051282051,0.6220501482568646,1998-01-26 21:59:13,1998-01-26 22:23:35,0,35-44,Medium Activity
26,49,M,engineer,21044,107,2.94392523364486,0.8559643761425944,1998-03-31 12:30:00,1998-03-31 23:19:29,0,45-54,Medium Activity
27,40,F,librarian,30030,25,3.24,0.8793937305515278,1998-04-02 18:48:17,1998-04-02 18:56:33,0,35-44,Low Activity
