item_id,movie_title_raw,release_date,video_release_date,imdb_url,unknown,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western,movie_title,release_year,rating_count,average_rating,rating_std,first_rated_time,last_rated_time,genre_count,decade_group,genre_list,genre_string,popularity_group,bayesian_average_rating,is_cold_start_item,is_popular_item,is_long_tail_item
1,Toy Story (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Toy Story,1995.0,452,3.8783,0.9279,1997-09-20 19:43:35,1998-04-22 16:56:14,3,1990年代,"['animation', 'children', 'comedy']","animation, children, comedy",热门,3.8635,0,1,0
2,GoldenEye (1995),1995-01-01,,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GoldenEye,1995.0,131,3.2061,0.9665,1997-09-20 18:02:48,1998-04-21 00:42:16,3,1990年代,"['action', 'adventure', 'thriller']","action, adventure, thriller",热门,3.249,0,1,0
3,Four Rooms (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Four Rooms,1995.0,90,3.0333,1.2128,1997-09-20 20:22:04,1998-04-17 05:24:36,1,1990年代,['thriller'],thriller,热门,3.1236,0,1,0
4,Get Shorty (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Get Shorty,1995.0,209,3.5502,0.9651,1997-09-20 04:36:19,1998-04-22 17:22:21,3,1990年代,"['action', 'comedy', 'drama']","action, comedy, drama",热门,3.5484,0,1,0
5,Copycat (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Copycat%20(1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Copycat,1995.0,86,3.3023,0.9464,1997-09-20 21:58:12,1998-04-21 21:36:47,3,1990年代,"['crime', 'drama', 'thriller']","crime, drama, thriller",热门,3.3452,0,1,0
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995-01-01,,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0,26,3.5769,1.3015,1997-09-23 15:22:45,1998-03-31 22:45:57,1,1990年代,['drama'],drama,中等,3.5564,0,0,0
7,Twelve Monkeys (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Twelve Monkeys,1995.0,392,3.7985,0.982,1997-09-20 17:06:25,1998-04-22 16:58:20,2,1990年代,"['drama', 'sci_fi']","drama, sci_fi",热门,3.7855,0,1,0
8,Babe (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Babe%20(1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Babe,1995.0,219,3.9954,1.0023,1997-09-20 19:57:54,1998-04-22 17:21:50,3,1990年代,"['children', 'comedy', 'drama']","children, comedy, drama",热门,3.9564,0,1,0
9,Dead Man Walking (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Dead Man Walking,1995.0,299,3.8963,1.0424,1997-09-21 01:36:44,1998-04-22 16:53:14,1,1990年代,['drama'],drama,热门,3.8733,0,1,0
10,Richard III (1995),1996-01-22,,http://us.imdb.com/M/title-exact?Richard%20III%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Richard III,1995.0,89,3.8315,1.0139,1997-09-21 17:25:34,1998-04-22 16:58:55,2,1990年代,"['drama', 'war']","drama, war",热门,3.7762,0,1,0
11,Seven (Se7en) (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Se7en%20(1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Seven (Se7en),1995.0,236,3.8475,1.0689,1997-09-20 17:44:00,1998-04-21 00:44:51,2,1990年代,"['crime', 'thriller']","crime, thriller",热门,3.8227,0,1,0
