model,hidden_dim,num_layers,lr,weight_decay,epochs,valid_mae,valid_rmse,test_mae,test_rmse
GCN,64,2,0.005,0.0001,30,0.736334,0.9322,0.742301,0.934244
GCN,64,2,0.005,1e-05,30,0.735606,0.934038,0.741752,0.935627
GCN,64,1,0.005,0.0001,30,0.739577,0.93627,0.744058,0.935806
GCN,32,1,0.005,0.0001,30,0.740952,0.937149,0.747342,0.937674
GCN,64,1,0.005,1e-05,30,0.740195,0.937863,0.745479,0.937703
GraphSAGE,32,1,0.005,0.0001,30,0.74065,0.938587,0.745424,0.938079
GCN,32,1,0.005,1e-05,30,0.741447,0.938773,0.746911,0.938594
GraphSAGE,32,1,0.005,1e-05,30,0.741736,0.939339,0.746812,0.939136
GCN,32,2,0.005,0.0001,30,0.741824,0.939798,0.747732,0.940116
GCN,32,2,0.005,1e-05,30,0.741421,0.940322,0.747698,0.940847
GraphSAGE,32,2,0.005,0.0001,30,0.744111,0.941645,0.750512,0.941764
GraphSAGE,64,2,0.005,0.0001,30,0.744448,0.94311,0.750862,0.943975
GraphSAGE,32,2,0.005,1e-05,30,0.746819,0.94315,0.753565,0.943954
GraphSAGE,64,1,0.005,0.0001,30,0.74361,0.943371,0.748933,0.942168
GraphSAGE,64,1,0.005,1e-05,30,0.744847,0.945201,0.750661,0.944326
GraphSAGE,64,2,0.005,1e-05,30,0.744317,0.946127,0.750709,0.94687
GraphSAGE,64,2,0.001,1e-05,30,0.771246,0.972457,0.773855,0.97031
GraphSAGE,64,2,0.001,0.0001,30,0.774201,0.974316,0.777315,0.97247
GCN,64,2,0.001,1e-05,30,0.777332,0.976791,0.777689,0.9753
GCN,64,1,0.001,1e-05,30,0.776831,0.977115,0.777971,0.976158
GCN,64,1,0.001,0.0001,30,0.779232,0.97909,0.780715,0.978598
GCN,64,2,0.001,0.0001,30,0.780249,0.980035,0.780799,0.978844
GraphSAGE,64,1,0.001,1e-05,30,0.790172,0.989826,0.796483,0.994452
GraphSAGE,64,1,0.001,0.0001,30,0.794309,0.993374,0.800444,0.997856
GraphSAGE,32,1,0.001,1e-05,30,0.810304,1.008974,0.815779,1.013264
GraphSAGE,32,1,0.001,0.0001,30,0.811791,1.010454,0.817458,1.014846
GCN,32,1,0.001,1e-05,30,0.810414,1.013363,0.814165,1.016728
GCN,32,1,0.001,0.0001,30,0.811389,1.014255,0.815052,1.017624
GraphSAGE,32,2,0.001,1e-05,30,0.814531,1.018419,0.821215,1.023653
GraphSAGE,32,2,0.001,0.0001,30,0.81681,1.02066,0.823594,1.025931
GCN,32,2,0.001,1e-05,30,0.819123,1.025665,0.825044,1.029307
GCN,32,2,0.001,0.0001,30,0.820207,1.026834,0.826126,1.030436
