model,n_factors,lr,reg,epochs,valid_mae,valid_rmse,valid_exact_acc,valid_within_0_5_acc,valid_within_1_0_acc,valid_like_acc,valid_precision,valid_recall,valid_f1,test_mae,test_rmse,test_exact_acc,test_within_0_5_acc,test_within_1_0_acc,test_like_acc,test_precision,test_recall,test_f1,best_epoch,tracked_best_valid_rmse,early_stopped
BiasMF,8,0.005,0.01,20,0.728881,0.925444,0.42541,0.42541,0.736884,0.613036,0.852037,0.368771,0.514752,0.734968,0.930994,0.415699,0.415699,0.725471,0.602623,0.82881,0.358045,0.500063,20,0.925444,False
BiasMF,32,0.005,0.05,20,0.730832,0.925953,0.4168,0.4168,0.730677,0.603825,0.851316,0.349164,0.495216,0.73619,0.929559,0.413096,0.413096,0.723869,0.595114,0.830106,0.340188,0.4826,20,0.925953,False
BiasMF,16,0.005,0.01,20,0.72972,0.927959,0.422907,0.422907,0.731077,0.613136,0.847194,0.372009,0.517,0.736818,0.932209,0.415198,0.415198,0.727773,0.605026,0.827262,0.364538,0.506072,20,0.927959,False
BiasMF,32,0.005,0.01,20,0.730539,0.92827,0.420805,0.420805,0.732779,0.615839,0.844125,0.379924,0.524004,0.734578,0.931608,0.418302,0.418302,0.72517,0.604626,0.821962,0.367244,0.507667,20,0.92827,False
BiasMF,16,0.005,0.05,20,0.732708,0.9287,0.417701,0.417701,0.729676,0.604626,0.851528,0.350783,0.496879,0.738751,0.93258,0.410993,0.410993,0.723869,0.595114,0.830688,0.339827,0.482335,20,0.9287,False
BiasMF,8,0.005,0.05,20,0.733457,0.929442,0.418102,0.418102,0.730677,0.603524,0.851429,0.348444,0.494511,0.738742,0.932878,0.413296,0.413296,0.722167,0.593913,0.826316,0.339827,0.481595,20,0.929442,False
BiasMF,8,0.001,0.01,20,0.75177,0.948278,0.407089,0.407089,0.717561,0.585402,0.857359,0.30599,0.451014,0.75506,0.95069,0.404786,0.404786,0.713857,0.576592,0.832911,0.296717,0.437558,20,0.948278,False
BiasMF,8,0.001,0.05,20,0.753473,0.949176,0.406388,0.406388,0.715559,0.580697,0.859843,0.294657,0.438907,0.756608,0.951334,0.404185,0.404185,0.712956,0.572387,0.83553,0.285895,0.426018,20,0.949176,False
BiasMF,16,0.001,0.01,20,0.752819,0.949698,0.409091,0.409091,0.714257,0.5837,0.853967,0.304012,0.448395,0.755919,0.951228,0.403584,0.403584,0.712255,0.575491,0.832653,0.294372,0.434968,20,0.949698,False
BiasMF,16,0.001,0.05,20,0.75427,0.95023,0.406888,0.406888,0.713757,0.580096,0.857517,0.294477,0.438404,0.757297,0.951738,0.402483,0.402483,0.711654,0.571185,0.834838,0.28355,0.42332,20,0.95023,False
BiasMF,32,0.001,0.01,20,0.75337,0.950291,0.406688,0.406688,0.713556,0.5831,0.852095,0.303652,0.447745,0.756303,0.952192,0.406388,0.406388,0.712755,0.577693,0.835526,0.297799,0.439096,20,0.950291,False
BiasMF,32,0.001,0.05,20,0.754653,0.950628,0.404786,0.404786,0.712455,0.579195,0.85873,0.291959,0.435763,0.757518,0.952444,0.403584,0.403584,0.711754,0.573989,0.839747,0.287338,0.428168,20,0.950628,False
