model,n_factors,lr,reg,epochs,valid_mae,valid_rmse,valid_exact_acc,valid_within_0_5_acc,valid_within_1_0_acc,valid_like_acc,valid_precision,valid_recall,valid_f1,test_mae,test_rmse,test_exact_acc,test_within_0_5_acc,test_within_1_0_acc,test_like_acc,test_precision,test_recall,test_f1,best_epoch,tracked_best_valid_rmse,early_stopped
SVDPP,8,0.005,0.01,20,0.711581,0.907489,0.43332,0.43332,0.743692,0.626852,0.862055,0.392337,0.539251,0.718736,0.912805,0.428314,0.428314,0.740589,0.620144,0.843676,0.387446,0.531026,20,0.907489,False
SVDPP,32,0.005,0.01,20,0.713797,0.909507,0.431318,0.431318,0.742691,0.626952,0.860401,0.393596,0.540114,0.720263,0.91503,0.430717,0.430717,0.737885,0.618442,0.842355,0.38456,0.52805,17,0.909507,False
SVDPP,16,0.005,0.01,20,0.71161,0.909624,0.436424,0.436424,0.742791,0.625651,0.861398,0.390178,0.537081,0.719483,0.91287,0.427913,0.427913,0.739588,0.617541,0.840174,0.384019,0.527111,18,0.909624,False
SVDPP,32,0.005,0.05,20,0.720752,0.915464,0.42481,0.42481,0.737785,0.614838,0.863328,0.365893,0.513961,0.7275,0.920032,0.420304,0.420304,0.729976,0.604626,0.837495,0.356962,0.500569,20,0.915464,False
SVDPP,16,0.005,0.05,20,0.72602,0.921432,0.422707,0.422707,0.733781,0.609031,0.858009,0.356539,0.503749,0.731934,0.924677,0.414698,0.414698,0.729375,0.600621,0.836726,0.348485,0.492041,20,0.921432,False
SVDPP,8,0.005,0.05,20,0.729551,0.925354,0.419303,0.419303,0.73308,0.60823,0.857826,0.35492,0.5021,0.735008,0.928869,0.416199,0.416199,0.72507,0.597417,0.830656,0.345058,0.487575,20,0.925354,False
SVDPP,32,0.001,0.01,20,0.743031,0.939624,0.413797,0.413797,0.719764,0.593712,0.855856,0.324699,0.470788,0.74748,0.942468,0.410493,0.410493,0.720765,0.587805,0.836398,0.319986,0.462883,20,0.939624,False
SVDPP,16,0.001,0.01,20,0.746916,0.943789,0.412295,0.412295,0.718362,0.59191,0.855635,0.320921,0.466771,0.749916,0.944948,0.405386,0.405386,0.717861,0.584101,0.833493,0.313312,0.455427,20,0.943789,False
SVDPP,8,0.001,0.01,20,0.748573,0.945492,0.410192,0.410192,0.720264,0.590308,0.858329,0.316064,0.462004,0.752392,0.948289,0.407689,0.407689,0.71646,0.581798,0.83228,0.308802,0.450467,20,0.945492,False
SVDPP,32,0.001,0.05,20,0.753174,0.948988,0.404986,0.404986,0.713256,0.580196,0.857218,0.294837,0.438763,0.756206,0.950953,0.404185,0.404185,0.712655,0.57469,0.839623,0.288961,0.429952,20,0.948988,False
SVDPP,8,0.001,0.05,20,0.753386,0.949106,0.405386,0.405386,0.715459,0.580497,0.859318,0.294477,0.438639,0.756513,0.951257,0.404586,0.404586,0.712956,0.572887,0.837025,0.286255,0.426613,20,0.949106,False
SVDPP,16,0.001,0.05,20,0.753898,0.94981,0.40799,0.40799,0.713556,0.580096,0.856769,0.294837,0.438704,0.756871,0.951208,0.402283,0.402283,0.711354,0.571486,0.834392,0.284452,0.424267,20,0.94981,False
