model,group_type,group_value,count,mae,rmse,exact_acc,within_0_5_acc,within_1_0_acc,like_acc,precision,recall,f1
SVD++,电影冷启动分组,非冷启动电影,9902,0.717677,0.91164,0.429206,0.429206,0.741264,0.619774,0.84343,0.38904,0.532472
基于物品的协同过滤,电影冷启动分组,非冷启动电影,9902,0.720527,0.918306,0.431933,0.431933,0.737932,0.623207,0.832835,0.404101,0.544166
图卷积网络,电影冷启动分组,非冷启动电影,9902,0.731359,0.926933,0.419208,0.419208,0.728742,0.606342,0.828781,0.368899,0.510547
带偏置矩阵分解,电影冷启动分组,非冷启动电影,9902,0.733851,0.9298,0.416683,0.416683,0.726116,0.602202,0.82887,0.359463,0.501456
电影平均分,电影冷启动分组,非冷启动电影,9902,0.802387,1.008392,0.377197,0.380933,0.677136,0.547869,0.794084,0.253312,0.384097
SVD++,电影冷启动分组,冷启动电影,86,0.840683,1.038227,0.325581,0.325581,0.662791,0.662791,1.0,0.121212,0.216216
带偏置矩阵分解,电影冷启动分组,冷启动电影,86,0.863611,1.059535,0.302326,0.302326,0.651163,0.651163,0.8,0.121212,0.210526
图卷积网络,电影冷启动分组,冷启动电影,86,0.881196,1.121988,0.325581,0.325581,0.616279,0.674419,1.0,0.151515,0.263158
基于物品的协同过滤,电影冷启动分组,冷启动电影,86,0.90783,1.292102,0.430233,0.430233,0.616279,0.709302,0.833333,0.30303,0.444444
电影平均分,电影冷启动分组,冷启动电影,86,1.18513,1.533243,0.302326,0.313953,0.534884,0.604651,0.470588,0.242424,0.32
带偏置矩阵分解,电影年代分组,未知年代,3,0.618759,0.641549,0.333333,0.333333,1.0,0.333333,1.0,0.333333,0.5
图卷积网络,电影年代分组,未知年代,3,0.596782,0.65347,0.333333,0.333333,1.0,0.333333,1.0,0.333333,0.5
SVD++,电影年代分组,未知年代,3,0.624996,0.65381,0.333333,0.333333,1.0,0.333333,1.0,0.333333,0.5
SVD++,电影年代分组,1920年代,8,0.638113,0.703506,0.375,0.375,0.875,0.5,1.0,0.2,0.333333
带偏置矩阵分解,电影年代分组,1920年代,8,0.647968,0.735033,0.5,0.5,0.75,0.5,1.0,0.2,0.333333
图卷积网络,电影年代分组,1920年代,8,0.667751,0.775449,0.375,0.375,0.75,0.5,1.0,0.2,0.333333
图卷积网络,电影年代分组,1950年代,345,0.648638,0.816077,0.455072,0.455072,0.782609,0.611594,0.888889,0.553846,0.682464
SVD++,电影年代分组,1950年代,345,0.647739,0.821055,0.463768,0.463768,0.768116,0.602899,0.868263,0.557692,0.679157
基于物品的协同过滤,电影年代分组,1950年代,345,0.650149,0.826452,0.466667,0.466667,0.788406,0.623188,0.869318,0.588462,0.701835
基于物品的协同过滤,电影年代分组,1940年代,224,0.636355,0.82905,0.486607,0.486607,0.772321,0.642857,0.80597,0.666667,0.72973
带偏置矩阵分解,电影年代分组,1950年代,345,0.658586,0.838388,0.472464,0.472464,0.756522,0.57971,0.848485,0.538462,0.658824
图卷积网络,电影年代分组,1940年代,224,0.656863,0.839651,0.455357,0.455357,0.767857,0.589286,0.801724,0.574074,0.669065
基于物品的协同过滤,电影年代分组,1960年代,394,0.651905,0.842963,0.477157,0.477157,0.796954,0.672589,0.839378,0.623077,0.715232
SVD++,电影年代分组,1940年代,224,0.655396,0.842966,0.455357,0.455357,0.776786,0.616071,0.816667,0.604938,0.695035
基于物品的协同过滤,电影年代分组,1930年代,149,0.634823,0.84397,0.52349,0.52349,0.791946,0.630872,0.846154,0.605505,0.705882
带偏置矩阵分解,电影年代分组,1940年代,224,0.661988,0.844623,0.446429,0.446429,0.776786,0.598214,0.810345,0.580247,0.676259
SVD++,电影年代分组,1960年代,394,0.668473,0.847598,0.469543,0.469543,0.756345,0.659898,0.83871,0.6,0.699552
带偏置矩阵分解,电影年代分组,1960年代,394,0.677797,0.861226,0.449239,0.449239,0.753807,0.637056,0.823204,0.573077,0.675737
SVD++,电影年代分组,1930年代,149,0.684816,0.867781,0.416107,0.416107,0.771812,0.57047,0.835821,0.513761,0.636364
图卷积网络,电影年代分组,1960年代,394,0.687255,0.8705,0.426396,0.426396,0.766497,0.654822,0.844444,0.584615,0.690909
SVD++,电影年代分组,1980年代,1341,0.700146,0.873912,0.414616,0.414616,0.759881,0.625652,0.846774,0.496454,0.625931
基于物品的协同过滤,电影年代分组,1980年代,1341,0.702301,0.874831,0.420582,0.420582,0.758389,0.609993,0.826263,0.483452,0.609993
带偏置矩阵分解,电影年代分组,1930年代,149,0.68571,0.875916,0.422819,0.422819,0.758389,0.543624,0.825397,0.477064,0.604651
SVD++,电影年代分组,1970年代,645,0.675386,0.881222,0.469767,0.469767,0.765891,0.662016,0.87055,0.60179,0.71164
电影平均分,电影年代分组,1950年代,345,0.690107,0.881878,0.44058,0.44058,0.750725,0.547826,0.837662,0.496154,0.623188
图卷积网络,电影年代分组,1980年代,1341,0.702614,0.881984,0.428039,0.428039,0.745712,0.595078,0.823028,0.456265,0.587072
图卷积网络,电影年代分组,1930年代,149,0.685542,0.883555,0.47651,0.47651,0.758389,0.530201,0.830508,0.449541,0.583333
基于物品的协同过滤,电影年代分组,1970年代,645,0.689594,0.887421,0.455814,0.455814,0.75814,0.657364,0.859873,0.604027,0.709593
带偏置矩阵分解,电影年代分组,1980年代,1341,0.713426,0.891755,0.412379,0.412379,0.742729,0.59135,0.813025,0.457447,0.585477
图卷积网络,电影年代分组,1970年代,645,0.696047,0.892206,0.444961,0.444961,0.778295,0.675969,0.874214,0.621924,0.726797
电影平均分,电影年代分组,1940年代,224,0.691547,0.898609,0.401786,0.401786,0.767857,0.638393,0.768212,0.716049,0.741214
带偏置矩阵分解,电影年代分组,1970年代,645,0.704907,0.903606,0.429457,0.429457,0.751938,0.632558,0.857143,0.563758,0.680162
SVD++,电影年代分组,1990年代,6879,0.735796,0.934304,0.422445,0.422445,0.730048,0.615206,0.835696,0.290267,0.430875
基于物品的协同过滤,电影年代分组,1920年代,8,0.844482,0.940583,0.25,0.25,0.75,0.5,1.0,0.2,0.333333
基于物品的协同过滤,电影年代分组,1990年代,6879,0.741187,0.947372,0.424044,0.424044,0.722343,0.620439,0.82471,0.309386,0.449968
带偏置矩阵分解,电影年代分组,1990年代,6879,0.752686,0.953158,0.409071,0.409071,0.713912,0.602849,0.827869,0.263326,0.39956
图卷积网络,电影年代分组,1990年代,6879,0.752373,0.95325,0.409362,0.409362,0.712458,0.602268,0.810764,0.270568,0.405734
电影平均分,电影年代分组,1930年代,149,0.736567,0.957986,0.416107,0.416107,0.684564,0.489933,0.761905,0.440367,0.55814
基于物品的协同过滤,电影年代分组,未知年代,3,0.829727,0.958574,0.333333,0.333333,0.666667,0.0,0.0,0.0,0.0
电影平均分,电影年代分组,1980年代,1341,0.752268,0.960565,0.392245,0.392245,0.687547,0.50783,0.796178,0.295508,0.431034
电影平均分,电影年代分组,1960年代,394,0.767717,0.967593,0.373096,0.393401,0.715736,0.56599,0.783439,0.473077,0.589928
电影平均分,电影年代分组,1970年代,645,0.768246,0.98069,0.378295,0.381395,0.699225,0.596899,0.793103,0.565996,0.660574
电影平均分,电影年代分组,1920年代,8,0.75625,0.984727,0.625,0.625,0.75,0.25,0.0,0.0,0.0
电影平均分,电影年代分组,1990年代,6879,0.832791,1.040506,0.368513,0.372583,0.66216,0.549644,0.787338,0.140498,0.238446
电影平均分,电影年代分组,未知年代,3,0.933333,1.045626,0.0,0.0,0.666667,0.0,0.0,0.0,0.0
SVD++,电影热度分组,热门,8177,0.705967,0.898169,0.436101,0.436101,0.748808,0.608414,0.843088,0.418332,0.559196
基于物品的协同过滤,电影热度分组,热门,8177,0.707285,0.902905,0.440382,0.440382,0.747829,0.609637,0.833802,0.427806,0.565478
图卷积网络,电影热度分组,热门,8177,0.722112,0.915494,0.424116,0.424116,0.736701,0.593739,0.831675,0.395881,0.536422
带偏置矩阵分解,电影热度分组,热门,8177,0.722618,0.916972,0.422527,0.422527,0.734132,0.588113,0.827677,0.386818,0.527232
SVD++,电影热度分组,中等,1565,0.767479,0.967369,0.401278,0.401278,0.708626,0.674121,0.857143,0.18,0.297521
图卷积网络,电影热度分组,中等,1565,0.766702,0.96787,0.401917,0.401917,0.69393,0.664537,0.781955,0.173333,0.283765
基于物品的协同过滤,电影热度分组,中等,1565,0.772736,0.974593,0.399361,0.399361,0.697764,0.688179,0.829412,0.235,0.366234
带偏置矩阵分解,电影热度分组,中等,1565,0.780467,0.982029,0.392971,0.392971,0.690735,0.670288,0.862069,0.166667,0.27933
电影平均分,电影热度分组,热门,8177,0.785293,0.986083,0.380824,0.382903,0.685948,0.527944,0.800241,0.27312,0.407248
SVD++,电影热度分组,冷门,246,0.833079,1.030327,0.341463,0.341463,0.670732,0.666667,0.818182,0.101124,0.18
带偏置矩阵分解,电影热度分组,冷门,246,0.856023,1.052105,0.333333,0.333333,0.658537,0.654472,0.7,0.078652,0.141414
电影平均分,电影热度分组,中等,1565,0.867596,1.089518,0.367412,0.376997,0.638339,0.640895,0.706522,0.108333,0.187861
图卷积网络,电影热度分组,冷门,246,0.866278,1.098193,0.333333,0.333333,0.646341,0.678862,0.857143,0.134831,0.23301
基于物品的协同过滤,电影热度分组,冷门,246,0.894016,1.177566,0.357724,0.357724,0.621951,0.691057,0.76,0.213483,0.333333
电影平均分,电影热度分组,冷门,246,1.089538,1.370933,0.292683,0.317073,0.581301,0.638211,0.5,0.146067,0.226087
