model,group_type,group_value,count,mae,rmse,exact_acc,within_0_5_acc,within_1_0_acc,like_acc,precision,recall,f1
SVD++,用户冷启动分组,非冷启动用户,9988,0.718736,0.912805,0.428314,0.428314,0.740589,0.620144,0.843676,0.387446,0.531026
基于物品的协同过滤,用户冷启动分组,非冷启动用户,9988,0.72214,0.922171,0.431918,0.431918,0.736884,0.623949,0.832837,0.403499,0.543621
图卷积网络,用户冷启动分组,非冷启动用户,9988,0.732649,0.928787,0.418402,0.418402,0.727773,0.606928,0.829129,0.367605,0.509373
带偏置矩阵分解,用户冷启动分组,非冷启动用户,9988,0.734968,0.930994,0.415699,0.415699,0.725471,0.602623,0.82881,0.358045,0.500063
电影平均分,用户冷启动分组,非冷启动用户,9988,0.805682,1.014071,0.376552,0.380356,0.675911,0.548358,0.790986,0.253247,0.383659
SVD++,用户年龄分组,35-44岁,1961,0.690227,0.868617,0.447221,0.447221,0.754207,0.623661,0.857685,0.405381,0.550548
基于物品的协同过滤,用户年龄分组,35-44岁,1961,0.694645,0.886352,0.444161,0.444161,0.747068,0.627741,0.822446,0.440359,0.573598
带偏置矩阵分解,用户年龄分组,35-44岁,1961,0.707041,0.890773,0.432942,0.432942,0.741458,0.606323,0.834308,0.383857,0.525799
图卷积网络,用户年龄分组,35-44岁,1961,0.710443,0.894239,0.426313,0.426313,0.736869,0.606323,0.834308,0.383857,0.525799
SVD++,用户年龄分组,55岁及以上,562,0.708394,0.899538,0.434164,0.434164,0.736655,0.588968,0.842105,0.413793,0.554913
SVD++,用户年龄分组,25-34岁,3537,0.70804,0.903176,0.432853,0.432853,0.752615,0.616624,0.849579,0.364481,0.510116
基于物品的协同过滤,用户年龄分组,55岁及以上,562,0.712027,0.904908,0.432384,0.432384,0.740214,0.606762,0.846995,0.445402,0.583804
SVD++,用户年龄分组,45-54岁,1273,0.718621,0.904988,0.415554,0.415554,0.739199,0.602514,0.828125,0.419525,0.556918
带偏置矩阵分解,用户年龄分组,55岁及以上,562,0.718823,0.909142,0.427046,0.427046,0.738434,0.581851,0.82659,0.41092,0.548944
基于物品的协同过滤,用户年龄分组,25-34岁,3537,0.710512,0.909266,0.442465,0.442465,0.749788,0.616624,0.835063,0.373774,0.516405
图卷积网络,用户年龄分组,55岁及以上,562,0.719529,0.910174,0.421708,0.421708,0.75089,0.58363,0.860759,0.390805,0.537549
基于物品的协同过滤,用户年龄分组,45-54岁,1273,0.717895,0.917155,0.443048,0.443048,0.728987,0.609584,0.814458,0.44591,0.5763
图卷积网络,用户年龄分组,25-34岁,3537,0.722383,0.918604,0.424371,0.424371,0.73339,0.605598,0.829684,0.352091,0.494382
带偏置矩阵分解,用户年龄分组,45-54岁,1273,0.728679,0.919335,0.428908,0.428908,0.717989,0.582875,0.80429,0.395778,0.530504
